,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,label,exp_group,pred1,pred2,pred3,pred4,pred5,pred6,pred7,t_1_roi,t_2_roi,t_3_roi,t_4_roi,t_5_roi,t_6_roi,t_7_roi,best_treatment_roi,best_treatment,delta_coin,coin,cum_expense,delta_cum_expense,base_expense,cum_base_expense,extra_expense,cut_off_point,final_coin,treatment,if_same,tmp_label
1318,1,2,0,0,0,4,0,0,0,0,0,0,0.0,0,0.0,5,801.1391764066643,628.697559863333,604.4227598400007,760.4968910666644,1622.4978457599989,957.0162423999968,497.7365058233295,2670.463921355548,1257.395119726666,863.4610854857153,760.4968910666644,1248.0752659692298,598.135151499998,261.9665820122787,2670.463921355548,t_1_roi,0.3,0.4,20.799999999999994,16.100000000000012,0.1,4.699999999999999,99.99999999999997,True,0.4,1.4,False,0.0
1948,1,1,0,0,0,2,0,4,0,0,0,0,0.0,0,0.0,1,801.1391764066643,628.697559863333,604.4227598400007,760.4968910666644,1622.4978457599989,957.0162423999968,497.7365058233295,2670.463921355548,1257.395119726666,863.4610854857153,760.4968910666644,1248.0752659692298,598.135151499998,261.9665820122787,2670.463921355548,t_1_roi,0.3,0.4,21.199999999999992,16.400000000000013,0.1,4.799999999999999,99.99999999999997,True,0.4,0.4,True,0.4
472,1,1,0,0,0,3,0,6,0,0,0,0,0.0,0,0.0,3,801.1391764066643,628.697559863333,604.4227598400007,760.4968910666644,1622.4978457599989,957.0162423999968,497.7365058233295,2670.463921355548,1257.395119726666,863.4610854857153,760.4968910666644,1248.0752659692298,598.135151499998,261.9665820122787,2670.463921355548,t_1_roi,0.3,0.4,21.59999999999999,16.700000000000014,0.1,4.899999999999999,99.99999999999997,True,0.4,0.8,False,0.0
985,4,6,0,0,0,3,0,6,0,0,1,1,1.0,0,0.0,7,801.1391764066643,628.697559863333,604.4227598400007,760.4968910666644,1622.4978457599989,957.0162423999968,497.7365058233295,2670.463921355548,1257.395119726666,863.4610854857153,760.4968910666644,1248.0752659692298,598.135151499998,261.9665820122787,2670.463921355548,t_1_roi,0.3,0.4,21.99999999999999,17.000000000000014,0.1,4.999999999999998,99.99999999999997,True,0.4,2.0,False,0.0
1869,2,3,0,0,0,3,0,5,0,0,0,0,0.0,0,0.0,1,801.1391764066643,628.697559863333,604.4227598400007,760.4968910666644,1622.4978457599989,957.0162423999968,497.7365058233295,2670.463921355548,1257.395119726666,863.4610854857153,760.4968910666644,1248.0752659692298,598.135151499998,261.9665820122787,2670.463921355548,t_1_roi,0.3,0.4,22.399999999999988,17.300000000000015,0.1,5.099999999999998,99.99999999999997,True,0.4,0.4,True,0.4
19,1,3,0,0,0,5,3,4,0,0,0,0,0.0,0,0.0,4,800.5763240033311,957.1582486866656,884.4536423133342,1090.808037626664,1685.7346386266645,991.4273060633318,578.5489732666642,2668.5877466777706,1914.3164973733312,1263.5052033047632,1090.808037626664,1296.718952789742,619.6420662895823,304.4994596140338,2668.5877466777706,t_1_roi,0.3,0.4,22.799999999999986,17.600000000000016,0.1,5.1999999999999975,99.99999999999997,True,0.4,1.1,False,0.0
129,2,5,0,0,0,5,5,6,0,0,0,0,0.0,0,3.682,7,800.5763240033311,957.1582486866656,884.4536423133342,1090.808037626664,1685.7346386266645,991.4273060633318,578.5489732666642,2668.5877466777706,1914.3164973733312,1263.5052033047632,1090.808037626664,1296.718952789742,619.6420662895823,304.4994596140338,2668.5877466777706,t_1_roi,0.3,0.4,23.199999999999985,17.900000000000016,0.1,5.299999999999997,99.99999999999997,True,0.4,2.0,False,0.0
1315,2,4,10,5,5,0,0,3,0,0,0,0,0.0,0,0.0,4,799.5051624766647,610.0405762333335,604.9577942833357,732.3636452066647,1626.396239379998,959.7010930433316,494.0246414199983,2665.017208255549,1220.081152466667,864.2254204047654,732.3636452066647,1251.0740302923061,599.8131831520823,260.01296916842017,2665.017208255549,t_1_roi,0.3,0.4,23.599999999999984,18.200000000000017,0.1,5.399999999999997,99.99999999999997,True,0.4,1.1,False,0.0
1988,10,23,22,15,21,45,19,3,21,0,1,1,1.0,0,0.0,5,595.3912527533357,1332.154586843334,1018.096028026669,1209.8071737766704,2051.2521150533366,968.0647873700008,1022.3228704433341,1984.637509177786,2664.309173686668,1454.422897180956,1209.8071737766704,1577.8862423487205,605.0404921062504,538.0646686543864,2664.309173686668,t_2_roi,0.5,0.6,24.199999999999985,18.700000000000017,0.1,5.4999999999999964,99.99999999999997,True,0.6,1.4,False,0.0
1529,11,23,19,18,21,8,4,5,0,0,1,1,1.0,0,7384.516,1,615.2251596200026,1330.4596366333358,1053.712826313336,1098.9414468100044,2037.9308155966696,972.6163252433348,928.2260096033348,2050.7505320666755,2660.9192732666716,1505.3040375904802,1098.9414468100044,1567.639088920515,607.8852032770842,488.54000505438677,2660.9192732666716,t_2_roi,0.5,0.6,24.799999999999986,19.200000000000017,0.1,5.599999999999996,99.99999999999997,True,0.6,0.4,False,0.0
1455,5,11,1,1,1,2,2,3,0,0,2,2,1.0,0,937.7230000000001,2,798.1284480533318,943.6977473466665,854.1206872166676,1083.059160746665,1668.5706064199992,993.5172994566657,590.9241308699984,2660.428160177773,1887.395494693333,1220.1724103095253,1083.059160746665,1283.515851092307,620.948312160416,311.0127004578939,2660.428160177773,t_1_roi,0.3,0.4,25.199999999999985,19.500000000000018,0.1,5.699999999999996,99.99999999999997,True,0.4,0.6,False,0.0
873,10,24,19,18,27,10,6,5,87,1,0,0,0.0,0,11860.935,7,630.2666289166688,1330.125993526668,1033.6344228066694,1118.860399750005,2014.322731420004,965.5203039933348,917.9647056500016,2100.888763055563,2660.251987053336,1476.6206040095278,1118.860399750005,1549.4790241692338,603.4501899958342,483.13931876315877,2660.251987053336,t_2_roi,0.5,0.6,25.799999999999986,20.000000000000018,0.1,5.799999999999995,99.99999999999997,True,0.6,2.0,False,0.0
323,4,19,0,7,27,4,3,2,0,0,4,4,1.0,1,0.0,7,796.9133401499989,1171.2551738833301,821.23084862,1096.020263413332,1812.31753042,1058.960375426666,858.9949190999972,2656.3778004999967,2342.5103477666603,1173.1869266,1096.020263413332,1394.0904080153846,661.8502346416661,452.10258899999855,2656.3778004999967,t_1_roi,0.3,0.4,26.199999999999985,20.30000000000002,0.1,5.899999999999995,99.99999999999997,True,0.4,2.0,False,0.0
