c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,label,exp_group,ID,A1_value_gain,A2_value_gain,A3_value_gain,A4_value_gain,A5_value_gain,A6_value_gain,A7_value_gain
7,7,17,13,7,1,0,9,0,0,0,0,0,0,0,7,29,-1511.451187,838.9489081,1448.706815,-421.9358314,1759.319369,-70.52760062,-893.9239651
14,30,35,37,47,802,477,3,664,3,0,0,0,0,0,3,30,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,-546.1908036,517.2332925
14,30,12,12,16,11,0,12,0,0,30,127,4.233333333,8,3657.944,1,31,124.8898526,170.0850332,323.3044797,932.4725869,599.4670046,299.7999742,-207.5322673
14,30,44,41,49,2,0,6,0,0,26,36,1.384615385,1,3307.241,4,32,1205.225628,380.6326524,4422.695293,6214.014062,7732.261087,3520.290046,1650.958762
14,30,33,30,38,27,14,4,34,0,25,47,1.88,4,1184.6,4,33,124.8898526,623.4118897,323.3044797,932.4725869,-375.3436775,299.7999742,517.2332925
14,30,52,50,86,4,1,7,0,0,29,83,2.862068966,3,14278.252,7,34,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
14,30,203,221,254,223,177,7,81,94,26,47,1.807692308,6,8745.306,6,35,124.8898526,436.8222744,-74.49924642,406.6208889,1322.492043,2043.412915,1650.958762
10,26,12,13,35,4,1,6,0,0,20,50,2.5,8,0,6,36,124.8898526,436.8222744,323.3044797,-1663.265944,176.7262311,1074.45138,877.2049144
14,30,33,33,46,4,1,7,0,0,30,416,13.86666667,1,5262.012,3,37,-874.6775238,-588.1997138,323.3044797,-4891.771717,599.4670046,977.759175,-2438.982267
3,11,1,1,10,0,0,4,0,0,9,15,1.666666667,3,3903.528,6,38,124.8898526,717.5380186,-257.2928285,-6.050387741,176.7262311,299.7999742,-204.3292986
14,30,91,81,73,20,9,4,0,0,15,49,3.266666667,1,7287.41,6,39,-874.6775238,170.0850332,323.3044797,932.4725869,599.4670046,3520.290046,2365.330941
5,11,0,2,3,3,1,39,0,0,0,0,0,0,0,5,40,1788.118935,838.9489081,1448.706815,-421.9358314,1759.319369,-70.52760062,-893.9239651
14,27,37,28,23,1,1,6,0,0,27,60,2.222222222,5,8243.612,3,41,124.8898526,2641.821001,323.3044797,-227.0923968,176.7262311,-546.1908036,-207.5322673
10,23,67,44,40,15,3,5,0,0,4,5,1.25,1,5267.907,0,42,124.8898526,-1082.741078,323.3044797,932.4725869,599.4670046,977.759175,-207.5322673
14,30,47,42,71,3,1,11,0,0,23,37,1.608695652,5,15596.488,6,43,349.2260435,-356.6506163,-74.49924642,2080.846259,1322.492043,-70.52760062,1124.440126
14,29,16,14,16,21,2,12,0,0,14,14,1,1,6695.174,7,44,124.8898526,717.5380186,-271.138657,932.4725869,-375.3436775,299.7999742,517.2332925
13,26,6,9,7,13,4,3,0,0,24,71,2.958333333,2,5826.016,1,45,124.8898526,3101.621018,323.3044797,-227.0923968,-492.6130005,-546.1908036,517.2332925
14,24,38,34,28,0,0,3,0,0,7,11,1.571428571,0,40590.247,4,46,1205.225628,380.6326524,1390.669249,6214.014062,7732.261087,761.5297225,1959.988243
14,30,42,50,59,61,34,11,6,0,30,292,9.733333333,4,17425.686,1,47,124.8898526,-356.6506163,-74.49924642,2080.846259,1322.492043,-70.52760062,1650.958762
14,18,150,138,104,22,6,7,0,0,13,34,2.615384615,2,38713.448,0,48,124.8898526,127.5414924,-74.49924642,2080.846259,1322.492043,977.759175,1650.958762
8,17,0,2,2,0,0,7,0,0,0,0,0,0,1559.651,2,49,124.8898526,436.8222744,323.3044797,932.4725869,599.4670046,1074.45138,2365.330941
10,26,41,64,87,10,0,6,43,0,9,12,1.333333333,2,0,4,50,124.8898526,127.5414924,323.3044797,-6.050387741,176.7262311,299.7999742,517.2332925
12,21,77,94,97,113,28,5,0,0,11,18,1.636363636,1,15726.102,5,51,124.8898526,-356.6506163,323.3044797,932.4725869,176.7262311,977.759175,517.2332925
1,2,0,0,0,0,0,4,0,0,2,2,1,1,0,7,52,124.8898526,-356.6506163,323.3044797,932.4725869,599.4670046,1074.45138,-525.9189828
14,30,94,68,87,32,15,5,0,0,30,42,1.4,4,4066.264,6,53,124.8898526,-1082.741078,-74.49924642,-421.9358314,-383.6288149,977.759175,604.8433211
5,13,0,0,1,0,0,5,0,0,2,4,2,1,0,4,54,124.8898526,127.5414924,323.3044797,-6.050387741,176.7262311,299.7999742,517.2332925
10,21,16,18,22,0,0,7,0,0,22,79,3.590909091,7,12735.367,4,55,124.8898526,729.3458261,-74.49924642,-421.9358314,-383.6288149,-70.52760062,-893.9239651
14,27,23,31,26,1,0,8,0,0,14,21,1.5,1,0,3,56,-874.6775238,-588.1997138,323.3044797,-1076.277429,599.4670046,761.5297225,240.3578818
14,30,96,85,96,105,25,4,0,0,11,17,1.545454545,1,9906.847,3,57,124.8898526,190.4266132,323.3044797,932.4725869,176.7262311,299.7999742,-207.5322673
13,27,21,16,22,11,2,3,0,0,26,111,4.269230769,4,19043.168,4,58,124.8898526,436.8222744,323.3044797,-1663.265944,599.4670046,761.5297225,2365.330941
13,29,27,39,105,125,1,16,1258,6,19,27,1.421052632,6,607.234,7,59,124.8898526,-356.6506163,323.3044797,932.4725869,599.4670046,1074.45138,2365.330941
14,30,224,183,229,285,180,12,362,96,0,0,0,0,2.48,6,60,124.8898526,190.4266132,323.3044797,-227.0923968,599.4670046,-546.1908036,-207.5322673
7,7,48,24,14,2,2,6,381,0,2,4,2,0,7379.33,4,61,524.4545172,170.0850332,1422.43522,932.4725869,599.4670046,-546.1908036,1439.555863
12,12,0,3,2,1,1,16,0,0,8,17,2.125,4,0,3,62,124.8898526,-356.6506163,-74.49924642,-421.9358314,-383.6288149,-70.52760062,-893.9239651
10,17,80,51,52,2,0,5,0,0,4,5,1.25,0,6196.092,4,63,124.8898526,729.3458261,-74.49924642,-421.9358314,-383.6288149,-1483.580191,-893.9239651
14,29,89,72,119,1,1,19,0,0,5,7,1.4,2,94.519,4,64,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,-546.1908036,517.2332925
14,30,5,4,17,3,3,3,0,0,29,221,7.620689655,4,2849.688,3,65,124.8898526,729.3458261,-74.49924642,-421.9358314,-383.6288149,-70.52760062,-893.9239651
14,30,29,21,22,0,0,5,0,0,24,85,3.541666667,1,2529.263,2,66,124.8898526,436.8222744,323.3044797,-227.0923968,176.7262311,1074.45138,877.2049144
14,30,11,17,25,0,0,5,0,0,30,502,16.73333333,25,4996.408,1,67,524.4545172,-588.1997138,323.3044797,-227.0923968,599.4670046,977.759175,-207.5322673
1,4,0,0,4,1,1,5,0,0,1,1,1,0,0,5,68,124.8898526,1644.313426,323.3044797,-227.0923968,599.4670046,761.5297225,240.3578818
13,29,30,21,41,0,0,10,0,0,17,24,1.411764706,2,6063.199,5,69,124.8898526,-3321.072145,323.3044797,-227.0923968,599.4670046,-546.1908036,517.2332925
14,30,5,10,19,0,0,12,0,0,29,49,1.689655172,2,0,1,70,124.8898526,717.5380186,323.3044797,-227.0923968,176.7262311,-546.1908036,517.2332925
2,2,0,0,0,0,0,10,0,0,0,0,0,0,0,4,71,124.8898526,-356.6506163,-271.138657,-6.050387741,176.7262311,1074.45138,877.2049144
14,30,25,29,38,1,0,6,0,0,28,39,1.392857143,2,2697.588,5,72,124.8898526,190.4266132,323.3044797,932.4725869,599.4670046,-546.1908036,517.2332925
3,10,37,18,15,1,1,5,0,0,1,2,2,1,18273.59,7,73,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,-1483.580191,-207.5322673
13,24,90,63,49,12,8,6,0,0,19,42,2.210526316,11,15228.541,5,74,124.8898526,127.5414924,-74.49924642,-421.9358314,-383.6288149,977.759175,604.8433211
14,30,10,11,17,51,27,5,0,0,30,73,2.433333333,1,26121.336,1,75,-1511.451187,-356.6506163,-74.49924642,1167.104395,-383.6288149,-70.52760062,1959.988243
14,27,96,99,85,27,20,17,0,0,2,2,1,1,11153.031,2,76,124.8898526,436.8222744,323.3044797,-227.0923968,599.4670046,-546.1908036,517.2332925
13,27,59,56,59,2,0,5,0,0,2,2,1,0,7285.44,3,77,124.8898526,-356.6506163,323.3044797,932.4725869,-375.3436775,1074.45138,-525.9189828
14,30,12,11,18,11,0,13,0,0,30,142,4.733333333,0,2003.734,2,78,524.4545172,-588.1997138,323.3044797,530.7908473,599.4670046,761.5297225,240.3578818
13,29,13,14,17,2,1,9,0,0,2,2,1,0,11543.403,6,79,124.8898526,190.4266132,323.3044797,932.4725869,599.4670046,299.7999742,517.2332925
14,30,38,33,49,4,3,7,84,0,18,55,3.055555556,5,49490.751,7,80,124.8898526,-356.6506163,323.3044797,-227.0923968,599.4670046,2043.412915,2365.330941
14,30,107,73,110,124,1,16,717,51,28,69,2.464285714,4,5186.258,2,81,124.8898526,-356.6506163,-74.49924642,-421.9358314,-383.6288149,977.759175,604.8433211
6,12,110,55,41,295,275,3,0,0,8,15,1.875,1,9097.023,6,82,124.8898526,-249.3268403,-257.2928285,-6.050387741,176.7262311,299.7999742,-204.3292986
14,30,47,68,89,379,240,6,0,0,6,8,1.333333333,1,22634.044,1,83,524.4545172,-588.1997138,1331.348452,-4891.771717,-492.6130005,-546.1908036,-2438.982267
14,30,95,94,108,0,0,11,0,0,3,3,1,1,10450.995,6,84,124.8898526,-1082.741078,323.3044797,932.4725869,599.4670046,977.759175,-207.5322673
14,29,153,153,134,360,167,5,133,0,2,2,1,1,18422.974,0,85,124.8898526,436.8222744,1448.706815,2080.846259,1322.492043,2043.412915,1650.958762
13,18,0,0,1,10,1,3,0,0,18,22,1.222222222,1,0,6,86,124.8898526,127.5414924,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
6,11,2,1,2,0,0,6,0,0,1,1,1,0,0,5,87,124.8898526,-356.6506163,323.3044797,-227.0923968,599.4670046,4207.388996,240.3578818
14,30,19,20,52,2,1,5,0,0,30,210,7,19,11926.531,7,88,-874.6775238,-356.6506163,323.3044797,932.4725869,599.4670046,761.5297225,240.3578818
5,9,13,6,7,15,11,5,0,0,5,9,1.8,0,6342.119,3,89,124.8898526,-295.3529355,-257.2928285,932.4725869,176.7262311,-546.1908036,-204.3292986
14,30,3,4,4,1,1,6,0,0,30,38,1.266666667,6,605.544,5,90,1205.225628,380.6326524,1390.669249,1167.104395,-383.6288149,761.5297225,13.85384394
3,4,0,0,0,0,0,14,0,0,0,0,0,0,0,5,91,124.8898526,436.8222744,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
7,19,2,4,6,4,1,7,0,0,0,0,0,0,1243.509,4,92,124.8898526,190.4266132,323.3044797,-227.0923968,176.7262311,1074.45138,877.2049144
14,30,43,37,47,262,214,6,0,0,23,25,1.086956522,0,6057.11,4,93,124.8898526,-295.3529355,323.3044797,932.4725869,599.4670046,-70.52760062,240.3578818
14,30,90,68,100,204,124,6,1314,0,30,96,3.2,13,3000.057,1,94,124.8898526,436.8222744,323.3044797,-6.050387741,176.7262311,-70.52760062,240.3578818
14,30,48,47,67,16,7,6,0,0,0,0,0,0,17319.664,5,95,124.8898526,127.5414924,742.2291416,406.6208889,1322.492043,1074.45138,1650.958762
13,26,18,13,16,2,0,5,0,0,7,9,1.285714286,2,0,6,96,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,299.7999742,517.2332925
14,30,82,64,59,0,0,3,0,0,10,13,1.3,0,23612.76,3,97,124.8898526,127.5414924,742.2291416,406.6208889,1322.492043,299.7999742,1650.958762
14,30,201,189,229,1097,1077,9,21,1,30,62,2.066666667,27,17962.989,3,98,124.8898526,1644.313426,323.3044797,-227.0923968,599.4670046,761.5297225,240.3578818
14,30,93,80,86,42,21,11,0,0,28,47,1.678571429,0,4169.209,0,99,124.8898526,436.8222744,-74.49924642,406.6208889,1322.492043,-70.52760062,6285.66289
14,30,40,73,102,113,51,7,0,0,26,40,1.538461538,0,23224.105,0,100,124.8898526,436.8222744,742.2291416,406.6208889,1322.492043,1074.45138,3448.646477
12,23,4,6,7,14,1,4,29,0,3,3,1,1,0,7,101,124.8898526,-356.6506163,742.2291416,406.6208889,1322.492043,1074.45138,1650.958762
14,30,14,17,33,3,1,12,0,0,24,48,2,1,5587.268,1,102,124.8898526,-1082.741078,1448.706815,-421.9358314,1759.319369,-70.52760062,604.8433211
9,14,61,32,25,2454,1592,4,0,0,5,5,1,1,110.132,4,103,124.8898526,-295.3529355,323.3044797,932.4725869,599.4670046,299.7999742,517.2332925
11,20,0,0,0,4,1,4,0,0,19,26,1.368421053,1,84.778,1,104,124.8898526,170.0850332,323.3044797,932.4725869,599.4670046,3520.290046,2365.330941
14,30,45,39,40,66,45,4,0,2,30,73,2.433333333,1,7103.157,7,105,124.8898526,190.4266132,-271.138657,932.4725869,599.4670046,977.759175,517.2332925
14,30,52,40,46,101,22,23,529,0,29,59,2.034482759,0,4265.45,5,106,124.8898526,-356.6506163,2476.936536,2080.846259,1322.492043,1074.45138,1650.958762
14,30,33,32,27,175,125,9,1418,0,30,77,2.566666667,5,0,1,107,124.8898526,1104.935033,2476.936536,2080.846259,1322.492043,1074.45138,1650.958762
14,30,74,70,80,523,271,4,332,53,0,0,0,0,0,6,108,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,-1483.580191,-207.5322673
14,29,9,9,16,16,10,5,0,0,7,7,1,0,240.685,3,109,124.8898526,1747.844471,4422.695293,406.6208889,4563.048435,1074.45138,3448.646477
14,29,35,28,44,14,11,13,14,0,17,20,1.176470588,0,267.157,6,110,124.8898526,190.4266132,323.3044797,-227.0923968,-375.3436775,-546.1908036,517.2332925
0,0,0,0,0,0,0,6,0,0,1,1,1,1,0,6,111,124.8898526,127.5414924,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
13,29,3,5,12,6,3,3,0,0,19,24,1.263157895,1,3545.435,7,112,-1511.451187,729.3458261,-74.49924642,-421.9358314,-383.6288149,-1483.580191,-893.9239651
13,29,23,24,25,279,230,22,0,0,1,1,1,0,2072.887,4,113,124.8898526,1104.935033,-74.49924642,2080.846259,1322.492043,-70.52760062,1124.440126
14,30,46,47,61,1,0,6,0,0,16,21,1.3125,1,0,7,114,124.8898526,127.5414924,742.2291416,406.6208889,1322.492043,1074.45138,1650.958762
13,29,59,55,115,1,1,14,0,0,25,61,2.44,0,27364.517,2,115,-1511.451187,-1082.741078,-74.49924642,-421.9358314,-383.6288149,-70.52760062,-893.9239651
14,30,3,2,6,9,2,3,0,0,29,44,1.517241379,3,305.679,5,116,-874.6775238,380.6326524,323.3044797,932.4725869,599.4670046,977.759175,-207.5322673
3,12,0,0,1,7,3,11,9,0,12,19,1.583333333,1,0,4,117,124.8898526,-356.6506163,-74.49924642,2080.846259,1322.492043,3520.290046,1650.958762
14,30,90,87,125,66,34,11,15,3,7,8,1.142857143,0,12085.328,0,118,124.8898526,-356.6506163,-271.138657,932.4725869,599.4670046,1074.45138,2365.330941
13,25,1,0,0,13,13,6,0,0,24,96,4,4,0,3,119,124.8898526,-356.6506163,323.3044797,932.4725869,-375.3436775,-70.52760062,240.3578818
14,30,5,5,4,5,0,11,0,0,26,118,4.538461538,5,1636.23,5,120,124.8898526,-1082.741078,323.3044797,-227.0923968,599.4670046,977.759175,-207.5322673
14,30,107,101,138,27,1,23,0,0,26,30,1.153846154,0,7119.331,6,121,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,-70.52760062,240.3578818
13,25,32,22,21,82,26,13,35,0,3,3,1,3,0,1,122,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
4,15,0,13,11,84,63,7,13,0,9,12,1.333333333,0,17451.926,6,123,124.8898526,-356.6506163,-74.49924642,-421.9358314,-383.6288149,977.759175,604.8433211
1,1,0,0,0,9,1,3,18,0,0,0,0,0,0,7,124,1788.118935,729.3458261,-74.49924642,-421.9358314,-383.6288149,-70.52760062,1831.802501
12,28,1,4,9,5,0,5,0,0,28,113,4.035714286,2,1850.33,7,125,124.8898526,-295.3529355,323.3044797,932.4725869,599.4670046,761.5297225,240.3578818
13,27,21,15,14,660,434,5,0,0,18,27,1.5,1,0,0,126,124.8898526,170.0850332,323.3044797,-227.0923968,599.4670046,761.5297225,240.3578818
1,1,1,0,0,0,0,11,0,0,2,20,10,1,2511.986,0,127,124.8898526,170.0850332,323.3044797,932.4725869,599.4670046,3520.290046,2365.330941
14,30,20,23,36,0,0,7,0,0,30,46,1.533333333,1,9017.788,0,128,124.8898526,-249.3268403,-257.2928285,-6.050387741,176.7262311,-546.1908036,-204.3292986
2,5,0,0,0,5,5,6,0,0,0,0,0,0,3.682,7,129,124.8898526,838.9489081,323.3044797,-1663.265944,-492.6130005,761.5297225,3138.29535
10,26,8,7,13,5,1,10,0,0,8,9,1.125,1,0,7,130,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,299.7999742,517.2332925
6,8,33,17,10,15,7,12,1,0,1,4,4,0,0,5,131,124.8898526,170.0850332,323.3044797,932.4725869,599.4670046,-546.1908036,-207.5322673
14,28,61,64,75,11,9,3,0,0,4,5,1.25,1,29317.711,2,132,124.8898526,3101.621018,-74.49924642,2080.846259,1322.492043,1074.45138,1650.958762
14,29,7,5,7,0,0,5,0,0,25,33,1.32,0,3128.808,0,133,124.8898526,380.6326524,2476.936536,2080.846259,4563.048435,1074.45138,1650.958762
14,30,36,27,30,13,2,6,3,0,30,43,1.433333333,4,2513.839,6,134,124.8898526,729.3458261,1448.706815,-421.9358314,1759.319369,-1483.580191,-893.9239651
11,27,7,4,14,17,11,4,0,0,24,46,1.916666667,3,4212.173,1,135,124.8898526,436.8222744,2476.936536,2080.846259,1322.492043,1074.45138,1650.958762
7,14,0,1,2,5,3,2,0,0,2,3,1.5,0,0,1,136,1205.225628,380.6326524,1390.669249,6214.014062,1375.892765,761.5297225,604.8433211
14,30,52,54,65,7,0,2,0,0,0,0,0,0,0,6,137,124.8898526,-942.1926331,-459.2245904,-6.050387741,176.7262311,-546.1908036,-204.3292986
2,11,0,0,2,14,4,29,0,0,1,1,1,0,5930.338,5,138,124.8898526,623.4118897,-781.7652567,-227.0923968,176.7262311,-546.1908036,-204.3292986
14,29,30,26,31,3,1,13,0,0,30,127,4.233333333,3,11374.689,6,139,349.2260435,-356.6506163,2476.936536,2080.846259,1322.492043,6036.039715,6285.66289
2,2,0,0,0,0,0,5,0,0,1,1,1,0,0,1,140,124.8898526,190.4266132,323.3044797,-227.0923968,176.7262311,-546.1908036,517.2332925
14,27,219,278,282,18,3,3,0,0,11,17,1.545454545,5,19247.804,7,141,124.8898526,-356.6506163,323.3044797,-6.050387741,176.7262311,299.7999742,517.2332925
11,26,6,5,7,6,0,4,0,0,26,41,1.576923077,3,2126.269,2,142,124.8898526,436.8222744,742.2291416,406.6208889,1322.492043,1074.45138,3448.646477
1,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,143,124.8898526,-249.3268403,1422.43522,932.4725869,599.4670046,299.7999742,-204.3292986
14,30,10,12,15,7,7,8,0,0,30,218,7.266666667,4,734.513,0,144,124.8898526,-295.3529355,323.3044797,-227.0923968,599.4670046,2043.412915,2365.330941
1,7,0,0,0,0,0,8,0,0,1,1,1,1,0,3,145,124.8898526,190.4266132,323.3044797,932.4725869,599.4670046,1074.45138,2365.330941
14,30,7,7,26,0,0,6,0,0,30,646,21.53333333,22,6731.026,5,146,124.8898526,-356.6506163,-271.138657,-6.050387741,176.7262311,1074.45138,877.2049144
13,29,6,5,5,0,0,5,0,0,28,107,3.821428571,2,3461.816,5,147,124.8898526,1104.935033,742.2291416,406.6208889,1322.492043,1074.45138,3448.646477
8,8,17,12,7,0,0,9,0,0,4,9,2.25,4,5576.739,3,148,124.8898526,-249.3268403,-257.2928285,-6.050387741,176.7262311,299.7999742,-204.3292986
14,30,33,32,34,8,0,4,0,0,30,41,1.366666667,2,2456.579,3,149,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,299.7999742,517.2332925
14,30,18,21,17,0,0,5,0,0,30,33,1.1,1,10212.23,5,150,-1511.451187,-356.6506163,-74.49924642,-421.9358314,-383.6288149,-70.52760062,-893.9239651
14,30,47,38,56,3,0,10,0,0,27,28,1.037037037,0,4142.922,4,151,124.8898526,1747.844471,-74.49924642,1167.104395,-383.6288149,761.5297225,1959.988243
14,30,20,14,24,3,1,8,236,1,5,8,1.6,2,0,1,152,124.8898526,-249.3268403,330.0070945,-6.050387741,176.7262311,299.7999742,-204.3292986
14,30,5,6,6,4,0,7,0,0,30,211,7.033333333,2,3100.937,6,153,124.8898526,-249.3268403,-459.2245904,-6.050387741,176.7262311,-546.1908036,-204.3292986
0,0,0,0,0,0,0,9,0,0,0,0,0,0,7106.704,7,154,124.8898526,-249.3268403,-257.2928285,-6.050387741,176.7262311,299.7999742,-204.3292986
5,10,2,1,1,7,3,5,0,0,1,2,2,1,0,0,155,124.8898526,-249.3268403,-459.2245904,-6.050387741,176.7262311,-546.1908036,-204.3292986
14,30,61,43,53,5,0,4,0,0,28,38,1.357142857,0,14529.807,4,156,-2927.268794,170.0850332,-271.138657,932.4725869,599.4670046,3520.290046,-525.9189828
14,30,87,94,137,494,345,5,4521,46,2,2,1,0,0,1,157,124.8898526,1104.935033,-74.49924642,2080.846259,1322.492043,-1483.580191,1124.440126
11,17,64,44,46,2,0,6,0,0,7,12,1.714285714,4,23125.121,0,158,124.8898526,-356.6506163,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
10,25,0,0,12,24,10,3,0,0,23,41,1.782608696,4,4795.315,7,159,124.8898526,1644.313426,323.3044797,932.4725869,599.4670046,1074.45138,2365.330941
10,26,5,5,9,8,3,3,0,0,0,0,0,0,482.82,4,160,124.8898526,-356.6506163,-74.49924642,2080.846259,1322.492043,-70.52760062,1650.958762
14,30,143,146,173,98,64,5,0,0,0,0,0,0,11930.9,2,161,124.8898526,-356.6506163,323.3044797,2464.314513,599.4670046,761.5297225,240.3578818
14,30,22,21,27,68,17,22,2865,0,0,0,0,0,0,2,162,124.8898526,-249.3268403,-2852.946005,-227.0923968,176.7262311,-546.1908036,-204.3292986
10,26,11,24,45,9,3,5,0,0,6,8,1.333333333,3,7678.272,0,163,1788.118935,838.9489081,1448.706815,1167.104395,1759.319369,761.5297225,6285.66289
8,12,17,9,7,8,4,9,0,0,3,3,1,0,0,5,164,124.8898526,3101.621018,1448.706815,2080.846259,1322.492043,1074.45138,1650.958762
14,30,204,143,179,488,194,10,9,5,12,13,1.083333333,1,9634.648,1,165,124.8898526,436.8222744,2476.936536,2080.846259,1322.492043,1074.45138,1650.958762
3,9,0,0,1,1,0,13,0,0,1,1,1,0,0,5,166,124.8898526,-1082.741078,323.3044797,932.4725869,599.4670046,-70.52760062,240.3578818
