exp_group,predict_1,predict_2,predict_3,predict_4,predict_5,predict_6,predict_7
1,-2964.52,-3178.32,-3090.7,-597.5269999999999,-410.225,-800.5169999999999,-1340.71
5,459.25699999999995,143.075,326.002,707.1410000000001,953.5939999999999,448.914,156.16
5,-679.648,125.43,-658.02,-542.515,572.6419999999999,59.7682,194.982
1,-999.305,-611.852,-726.49,-341.333,11.8992,-303.83,-172.032
4,409.094,213.5,330.77099999999996,691.682,883.77,556.427,54.3478
5,-1067.37,-388.606,-504.60699999999997,-777.238,355.407,-171.57299999999998,276.988
7,495.62300000000005,41.744,209.232,195.14700000000002,1090.05,168.067,195.351
5,-2250.45,-1326.25,-1095.1,-1120.43,-286.39799999999997,-743.868,-129.024
1,-951.9780000000001,-342.75,-413.04699999999997,-349.652,-162.995,-417.769,274.721
2,-1592.34,511.911,-629.069,63.1792,199.85299999999998,-1301.3,809.005
3,-1005.76,418.417,-439.42900000000003,-479.626,692.4789999999999,-443.042,549.864
2,-1359.37,-983.6110000000001,-878.472,86.2529,-15.7832,-44.0685,126.34200000000001
6,-266.512,-128.216,31.5733,59.1853,792.925,400.06199999999995,228.43
7,-1258.25,-487.288,-653.457,-15.2307,898.935,-250.342,262.58099999999996
2,-1069.6,-639.7819999999999,-735.7860000000001,1566.54,-81.0403,-1024.18,469.05199999999996
6,-1023.75,502.82199999999995,-438.541,863.301,-11.8665,-883.778,503.528
1,-1141.18,814.862,122.825,1373.07,986.199,-772.117,1241.15
6,-1483.5,104.72399999999999,-797.9680000000001,-534.067,231.518,-1108.7,566.51
0,-1766.74,-55.6825,-614.1419999999999,1887.03,-539.999,-1272.85,1155.47
6,-152.73,183.62099999999998,-309.656,319.768,923.617,204.957,334.767
5,434.485,68.4676,311.622,696.768,862.554,484.699,228.53799999999998
7,-2351.28,-2932.55,-1876.31,-765.819,-533.615,-40.6932,-1066.37
3,242.612,549.675,6.75807,697.922,946.449,191.234,436.66
5,-1159.34,-841.676,-428.93199999999996,-591.406,-63.3305,4.27229,219.80900000000003
5,302.777,223.547,328.50800000000004,665.211,853.207,531.4680000000001,190.21900000000002
4,391.36,132.995,448.56699999999995,643.9,1023.17,604.7,371.941
4,-978.56,727.952,-160.991,901.701,246.83599999999998,-874.567,1022.66
1,-2285.63,-2079.07,-1533.52,495.555,-443.059,-1245.06,286.348
5,-873.095,680.808,133.077,-9.40587,1190.45,-347.31699999999995,891.68
6,-121.891,7.279669999999999,21.8947,119.398,734.163,206.1,497.79
3,-1545.36,-76.3127,-1098.27,-742.904,206.05599999999998,-942.6089999999999,-216.622
3,-2683.16,-1808.53,-1502.85,1794.2,-1943.85,-1285.0,250.217
0,-1821.97,-160.109,-1015.71,-465.756,-764.1189999999999,-1413.97,689.19
0,-1463.49,627.312,5.17534,-34.0745,157.278,-750.2289999999999,1070.25
7,-123.516,-180.392,-189.175,777.2739999999999,1374.98,400.342,116.585
1,-1104.31,-322.176,-715.191,-296.569,18.4987,-259.353,-314.448
4,-576.595,667.433,242.62400000000002,888.2180000000001,871.184,-305.52299999999997,648.3290000000001
1,-46.5941,233.695,-180.132,304.638,845.4739999999999,226.764,262.389
7,-719.83,-178.067,-382.019,427.28,172.389,-538.817,307.478
5,-1296.25,-502.28,-671.925,151.596,328.075,-962.768,588.727
1,-944.196,-806.543,-688.6419999999999,1394.42,444.35400000000004,-785.159,860.051
6,-100.199,408.99800000000005,-466.829,2779.47,1118.63,-440.977,1089.68
3,-326.915,567.129,80.7068,191.683,932.865,281.268,756.4680000000001
6,-1049.3,328.957,-429.45099999999996,74.55,475.86300000000006,-146.941,844.341
6,462.858,155.498,246.229,712.2289999999999,959.1619999999999,392.086,41.0384
7,-439.57599999999996,355.49,-264.743,6.55167,532.169,50.7249,133.364
4,-726.908,506.441,409.756,1382.26,954.27,-137.651,1327.29
7,-1186.8,332.338,-321.996,-494.874,612.092,-317.937,657.01
2,-1282.99,375.426,-807.7919999999999,-671.938,-184.835,-783.137,893.558
5,-977.2489999999999,-545.674,-415.47900000000004,-408.853,374.652,-298.593,135.519
4,-80.2831,-4.91418,-244.05700000000002,553.595,871.7280000000001,180.90400000000002,213.05700000000002
0,-906.125,389.185,-368.735,1370.03,339.49199999999996,-882.966,887.346
3,-749.497,-98.5913,-557.962,345.50199999999995,400.064,145.659,252.135
5,-1047.89,-683.5419999999999,-820.467,149.201,-24.9501,-86.6187,-70.1981
6,-2183.93,-764.7289999999999,-993.7489999999999,-170.47799999999998,-1058.93,-1214.01,307.472
1,-510.218,259.248,-41.2598,602.262,1229.84,52.5418,1092.65
6,-181.737,809.687,257.433,955.2410000000001,1176.46,261.388,1341.68
7,408.705,97.7477,-85.6822,923.715,1084.62,294.959,2.34899
7,-694.5939999999999,-630.993,-656.7330000000001,206.62599999999998,117.285,486.181,-69.5235
0,-614.744,899.704,557.323,1253.87,727.8580000000001,-201.329,956.6010000000001
0,-23.0059,-146.214,-1039.37,1073.71,850.243,79.1212,-200.28099999999998
0,-1131.54,-759.791,-714.201,-687.836,159.215,-391.36199999999997,-16.4676
7,397.20599999999996,476.18699999999995,401.371,643.5169999999999,1002.03,439.61199999999997,293.455
7,-141.35299999999998,-3.8999300000000003,26.8016,361.356,843.664,424.264,381.82
5,189.28900000000002,-109.152,-221.40400000000002,688.8430000000001,1180.98,431.952,633.123
2,-1121.73,618.195,-321.165,-362.142,658.0139999999999,-587.347,425.33
0,-817.169,-57.4359,-419.2,-156.645,174.91299999999998,1.6018700000000001,-62.0472
6,-1285.36,-943.949,-319.089,-820.112,281.903,-317.264,261.847
1,-682.908,409.786,-388.20599999999996,120.18700000000001,471.89,46.7021,326.918
1,539.626,133.70600000000002,274.33099999999996,488.574,767.93,83.8843,91.1374
6,-805.831,441.60900000000004,-123.68299999999999,-348.051,1185.4,-432.332,588.286
5,224.324,298.393,218.46599999999998,801.2310000000001,918.432,395.082,320.684
6,-1189.52,-837.331,-690.4780000000001,-206.903,134.481,101.839,49.9289
1,499.49300000000005,171.15,357.87300000000005,714.2460000000001,923.684,420.45599999999996,130.80700000000002
7,-2096.36,-328.98199999999997,-1083.52,-172.11700000000002,-1165.18,-890.0160000000001,952.0310000000001
2,-577.884,-257.926,-383.74,-88.5688,385.61699999999996,43.8741,152.156
0,471.444,237.487,398.654,691.763,926.914,500.80199999999996,132.094
0,-1273.94,-1562.01,-1246.12,-80.9812,183.645,-427.923,-45.0759
3,412.05199999999996,74.4372,269.444,612.883,998.2760000000001,416.458,32.0154
5,-3119.01,-3018.2,-3081.85,-466.069,-466.50699999999995,-805.345,-1416.26
5,-746.046,-607.75,-595.981,196.592,3.6978199999999997,334.851,-126.52
3,469.423,-87.4599,-240.03799999999998,426.795,760.943,152.795,272.866
3,-1174.8,-972.154,-258.259,-886.253,252.78599999999997,-336.376,461.36800000000005
5,-950.0419999999999,-602.413,-300.291,-523.785,162.845,-229.25799999999998,239.253
4,-1522.63,-327.202,-498.41,-530.2669999999999,-47.9745,-617.938,640.863
1,-388.75,-283.656,-329.98,1013.87,1689.28,-216.854,196.135
6,-1280.48,-1518.62,-1202.04,-63.9571,127.98100000000001,-198.615,-421.963
7,415.449,209.937,306.918,704.7460000000001,853.655,543.6,77.8078
0,476.435,110.97200000000001,137.861,607.6619999999999,903.203,213.437,-102.425
4,-1575.02,-217.19799999999998,-860.4689999999999,-888.977,-156.767,-647.7230000000001,338.73800000000006
1,-377.8,348.231,-462.588,2497.24,432.25300000000004,-711.841,1138.54
0,-649.85,165.675,-521.867,-456.835,759.2180000000001,-103.609,181.88099999999997
7,-404.25199999999995,653.895,-314.392,262.366,665.0189999999999,100.921,572.8430000000001
4,161.458,330.57800000000003,539.234,633.418,1195.17,541.507,241.577
2,-1759.97,19.4854,-423.23,909.6160000000001,-825.063,-1146.64,1166.05
2,-583.495,57.22,-104.79299999999999,971.933,1642.65,-176.71,763.072
0,-115.664,357.478,-127.40299999999999,-53.5648,1167.14,376.12199999999996,289.51599999999996
5,386.246,237.699,416.452,683.7239999999999,927.503,394.218,328.374
1,-1131.25,404.155,-492.365,3001.74,-942.068,-1274.47,1226.27
5,315.01599999999996,46.0042,261.07,634.78,878.002,494.091,122.553
0,-968.602,-244.672,-369.6,-282.307,-182.574,-444.221,220.74
0,355.925,456.654,-174.51,322.562,936.512,-142.701,395.50800000000004
1,503.33099999999996,178.204,303.909,726.6419999999999,876.633,427.225,117.914
5,-676.5310000000001,92.6542,-216.72099999999998,-478.267,792.064,400.975,-171.56900000000002
7,-1089.31,-1063.59,-2022.48,2110.1,260.045,-757.49,368.61
6,-150.691,742.1110000000001,381.164,533.44,1030.01,436.649,665.547
2,-843.784,-816.289,-625.275,-416.043,15.0403,-125.27600000000001,-200.503
4,379.45300000000003,332.639,432.042,620.319,842.122,516.506,315.777
7,-555.474,329.76,49.8623,1533.49,789.545,-105.60700000000001,1167.31
5,-1739.29,-20.4403,-720.8989999999999,730.072,-43.0369,-871.029,716.5989999999999
6,-1094.18,-724.975,-735.5039999999999,-370.824,-75.1543,-427.644,-69.935
0,-1249.99,671.355,-100.791,1508.55,87.0871,-927.4889999999999,1375.81
2,-1000.29,-962.4060000000001,-633.674,-510.461,-33.0178,-364.467,-0.21511
3,-175.859,362.202,537.906,459.829,1175.51,440.96,373.726
1,268.776,573.327,594.533,718.175,1247.44,249.655,605.612
2,352.783,-99.5967,34.4834,577.328,752.284,316.159,146.36
1,-641.499,17.3226,-304.512,-369.515,531.512,-189.547,600.625
6,-1067.76,-404.191,-818.5160000000001,-264.421,-26.7604,-421.486,84.4774
4,231.41299999999998,-15.5823,-521.5930000000001,2096.22,1762.84,245.13299999999998,356.931
1,-437.782,-374.25,-527.855,26.2869,811.487,284.849,166.725
5,-276.23400000000004,95.1709,-316.597,12.5688,651.738,300.171,205.8
6,28.0139,265.438,-224.97,2149.95,1782.9,-407.06800000000004,1319.91
6,-541.47,741.721,438.12699999999995,427.06199999999995,1145.56,254.102,885.2489999999999
0,498.596,253.396,353.25199999999995,711.3560000000001,892.3330000000001,499.86199999999997,118.495
4,54.8044,19.5533,54.1781,587.887,901.846,155.791,295.03
7,524.246,202.518,398.67900000000003,703.86,965.283,371.351,122.465
5,638.432,350.19599999999997,277.832,2238.92,1798.15,539.747,753.9839999999999
4,322.039,107.383,304.374,666.2669999999999,852.6560000000001,428.935,252.979
7,106.652,21.6197,216.623,391.07599999999996,1019.13,528.288,367.30199999999996
0,-759.314,531.285,505.44,853.8689999999999,847.2260000000001,169.481,1009.0
5,-1343.31,89.6185,-493.977,-378.19599999999997,382.296,-718.574,656.2
7,-1073.48,423.38300000000004,-361.657,-618.913,373.884,-390.99300000000005,387.44199999999995
0,378.211,23.9548,251.00799999999998,609.461,854.73,422.534,155.21200000000002
5,-1212.45,524.732,-336.82099999999997,-466.38599999999997,555.759,-576.534,320.307
5,-138.368,699.977,104.39,586.155,1078.35,295.06,376.226
4,-869.8560000000001,-66.4995,-600.169,3331.48,-128.20600000000002,-771.7389999999999,1263.31
0,297.018,122.495,75.902,569.212,807.6139999999999,533.42,215.291
3,-781.071,-705.707,-623.391,110.54899999999999,66.472,258.329,-32.6617
4,232.55200000000002,190.84900000000002,461.32,375.74,1124.54,395.875,730.426
7,425.121,163.547,370.895,616.69,1028.41,543.8240000000001,98.8177
4,363.601,278.018,421.20300000000003,558.065,1196.42,553.115,324.88
1,-1137.21,356.481,-259.514,-297.099,668.416,-482.26199999999994,411.329
2,-1448.43,651.262,-97.5626,798.669,553.554,-730.433,963.7130000000001
2,-1820.05,-1190.97,-2326.32,1015.08,-269.127,-896.075,188.375
1,-983.235,-663.262,-582.929,-97.9303,18.3923,-317.931,129.649
5,-229.11599999999999,-133.391,9.22836,750.038,1182.73,341.517,202.61700000000002
6,-420.006,817.9789999999999,573.1990000000001,1449.53,978.707,208.40400000000002,881.0889999999999
4,-1192.49,-1514.61,-925.695,-242.30599999999998,-5.24656,80.6692,108.387
6,-893.581,-531.2769999999999,-562.2869999999999,-246.067,-52.1207,-100.73700000000001,-113.545
2,-1909.45,-1279.3,-2860.62,-171.611,-151.50799999999998,-714.2560000000001,-350.37800000000004
1,-633.145,-117.73899999999999,-732.78,-381.663,780.056,343.773,351.096
2,411.256,108.506,144.44299999999998,582.14,920.8939999999999,480.889,450.41
3,-1140.26,377.82199999999995,-406.88599999999997,-599.479,1069.59,-612.878,379.662
0,186.942,15.4551,-266.89599999999996,726.43,752.289,131.539,-52.4585
0,8.020660000000001,374.37699999999995,28.0351,2499.02,785.591,-322.236,1092.95
4,-49.0864,-675.388,-338.88199999999995,-135.986,790.9169999999999,273.562,494.35900000000004
3,439.22,145.097,357.958,679.812,922.39,473.49300000000005,160.153
1,-1147.3,-173.875,-194.65599999999998,-156.377,96.2816,-372.764,779.346
7,423.895,253.12400000000002,-150.81799999999998,1719.46,2196.89,462.809,698.442
4,-228.916,7.45712,-23.6138,-14.5407,891.868,-18.5697,230.541
5,-52.2378,-2.11388,-240.25799999999998,680.7,928.035,33.3086,258.274
3,388.50699999999995,515.2,-66.2042,2103.94,1777.26,19.7922,1031.85
6,-132.221,611.659,-199.68599999999998,685.5239999999999,1212.78,-423.282,1061.61
7,32.0165,-87.678,-203.354,420.23699999999997,798.9119999999999,124.585,472.546
7,-1276.28,93.4095,-229.424,-614.913,75.5534,-816.7510000000001,768.9789999999999
3,-1882.33,56.8706,-375.82599999999996,1549.5,-914.8530000000001,-1477.76,932.393
1,583.0,29.4987,3.23409,603.13,794.426,-39.5172,-7.1833
6,423.491,237.90099999999998,356.291,646.0419999999999,988.949,550.7180000000001,140.537
6,-1104.21,-781.929,-678.567,-395.60400000000004,-21.1704,-254.456,-127.36
2,-416.64,-7.9695800000000006,-20.6873,-22.7642,842.365,354.379,340.45599999999996
0,-124.399,562.903,154.547,233.653,970.062,346.046,765.643
5,-1465.53,-1720.08,-1038.8,-342.97,18.5148,-250.017,-187.523
7,-905.625,13.2876,-560.8380000000001,112.12899999999999,288.457,24.7017,33.7546
2,-976.55,-633.394,-488.036,-334.13199999999995,162.812,-170.36900000000003,113.639
3,-2035.83,-306.918,-753.373,1570.86,-1303.47,-1262.7,816.3539999999999
3,-1004.94,100.238,77.6013,-203.267,677.61,-292.37,420.70599999999996
0,-2432.95,-2811.54,-1438.99,-482.58,-367.95599999999996,-153.513,-837.622
7,-1414.26,18.2095,-330.957,-414.00199999999995,513.724,-393.76800000000003,671.187
7,352.361,463.44699999999995,509.699,718.923,1194.74,433.816,177.144
4,174.77599999999998,-19.822,-348.777,761.0830000000001,835.832,27.6046,58.6059
3,441.329,398.51,464.139,692.673,896.811,393.83,116.945
6,292.907,-3.16181,94.2625,562.309,909.352,294.712,179.69
0,-1159.69,-490.199,-428.634,-416.225,127.057,-295.971,480.108
4,-1195.64,-277.457,-431.21,-912.1519999999999,157.55700000000002,-407.56699999999995,855.8919999999999
0,-2152.22,-1018.91,-1216.15,-478.80699999999996,-1581.6,-719.429,664.3839999999999
5,403.519,-47.7267,-158.011,540.388,695.1189999999999,349.575,102.36399999999999
1,120.25399999999999,16.1911,144.47899999999998,325.372,880.6610000000001,436.75,120.631
4,-1401.28,36.7054,-776.7919999999999,-611.661,163.17,-225.66,253.34599999999998
0,-2069.93,-168.28799999999998,-663.975,-81.7994,-1482.74,-1205.81,988.668
7,-3044.95,-3003.53,-2980.02,-535.7719999999999,-287.468,-675.581,-1039.67
6,-341.596,901.331,641.854,1707.1,1118.99,443.36199999999997,1177.01
0,-2800.17,-2223.99,-1676.89,-912.0169999999999,-903.8480000000001,-687.689,-690.545
3,-1061.8,-697.0239999999999,-388.05300000000005,-433.31300000000005,236.44,-99.9154,39.7961
4,429.832,237.90099999999998,365.63599999999997,650.239,964.191,545.591,164.851
2,-1011.02,543.3,-438.407,-207.605,673.063,-330.898,532.7719999999999
4,339.801,61.1535,209.926,619.896,964.8789999999999,490.264,69.3438
1,-43.2469,531.914,44.8283,483.538,1172.68,414.978,636.7180000000001
0,446.88199999999995,174.352,419.69699999999995,597.596,1072.01,326.369,203.305
1,-304.467,66.3965,-249.17,557.886,750.706,335.657,266.32599999999996
7,-1563.35,217.843,-612.895,-876.3960000000001,206.09799999999998,-778.421,89.0274
6,-2199.41,-2445.82,-2249.85,709.434,-883.33,-1074.53,-384.837
0,-1314.6,-1541.05,-1130.38,-470.89,-137.048,-14.4202,164.33700000000002
0,-645.056,-128.19799999999998,-286.026,63.9446,512.925,135.04,259.895
2,96.7927,843.323,590.836,730.655,1225.47,350.505,440.82099999999997
3,211.639,-60.0574,-144.97299999999998,832.247,705.247,280.135,-109.305
5,-1329.23,-177.34099999999998,-740.393,-632.102,-123.07799999999999,-523.117,220.141
5,-3186.89,-2055.44,-2754.19,-807.6089999999999,-1508.85,-1113.0,-393.099
0,-34.241,-291.101,-547.867,957.808,829.743,339.70099999999996,-149.002
3,-786.061,-592.097,-530.8290000000001,910.525,288.781,-132.017,936.138
4,493.08099999999996,229.262,377.219,673.0319999999999,1030.53,341.19800000000004,31.3917
4,-1377.64,670.573,-415.285,206.229,192.97099999999998,-805.9630000000001,724.0310000000001
7,-1242.89,-271.06,-223.21599999999998,-190.94400000000002,195.347,-375.085,642.284
4,-1544.04,107.84700000000001,-253.767,89.4221,653.564,-883.515,720.2230000000001
7,299.155,-24.5345,110.838,616.32,722.6030000000001,433.527,325.072
3,-2986.44,-2954.9,-2714.53,-391.583,-485.793,-1105.37,-1058.8
1,-1431.71,654.24,-295.77,234.606,543.694,-688.752,911.679
1,-1273.21,-1476.31,-2278.68,158.704,137.71200000000002,-534.3380000000001,-46.1587
1,140.179,357.86300000000006,312.627,635.554,933.1060000000001,507.901,291.71299999999997
0,430.23699999999997,-52.5874,-37.4362,422.87800000000004,817.075,72.9455,249.075
2,432.09,129.2,498.411,635.373,1093.17,533.754,304.507
6,-1487.67,-118.384,-789.3330000000001,-1074.18,173.77900000000002,-406.85,650.261
0,-88.2077,406.01199999999994,65.0779,2615.42,1876.19,110.32600000000001,1345.26
2,-836.7760000000001,367.95,146.495,324.551,1009.0,42.4242,538.288
0,-1229.67,-546.036,-627.214,114.917,573.131,-526.924,750.095
0,434.345,172.24,291.88599999999997,684.02,960.753,584.784,110.601
7,-822.579,-607.322,-205.643,-393.246,176.174,-91.4762,344.79699999999997
4,349.871,99.9925,355.787,634.9490000000001,858.578,550.905,242.015
6,-1438.55,-927.581,-811.8969999999999,-456.666,-2.42892,-191.299,95.6239
5,-958.1669999999999,-474.72900000000004,-646.776,-484.676,-9.66345,-308.976,-217.995
2,-1002.8,-722.448,-797.203,-557.998,139.52700000000002,8.27641,78.9532
0,-1545.74,-269.53,-558.582,-491.082,-40.005,-41.3895,633.1
4,-236.56599999999997,180.887,277.313,303.906,1217.29,409.411,253.755
7,-2171.37,6.760439999999999,-797.322,1735.07,-1656.14,-1409.84,670.665
6,441.215,133.321,352.18,711.1080000000001,924.3489999999999,350.843,161.832
0,-154.43200000000002,927.451,631.257,973.683,1280.03,593.1,1168.05
7,373.12300000000005,92.9162,253.206,611.16,828.2330000000001,329.69699999999995,192.667
5,-321.72900000000004,380.389,-113.73700000000001,142.22299999999998,1024.98,-278.622,712.3760000000001
7,-1049.05,-635.559,-462.48900000000003,-444.13800000000003,269.621,-203.537,201.28599999999997
0,-1377.41,-1892.95,-1172.1,-1002.27,-136.66,-73.8653,42.2435
4,-1056.75,-693.434,-850.888,437.215,686.095,-180.465,98.2897
3,439.86,251.106,358.536,660.547,1004.99,520.557,133.626
0,-116.719,591.81,-54.7558,2583.1,1399.54,-565.821,1199.54
0,-525.553,-144.22299999999998,-366.649,-319.096,426.466,74.3377,142.933
0,-1053.12,-344.56699999999995,-256.772,765.515,64.3011,-282.119,864.952
5,-1431.14,125.021,-407.881,1513.29,-935.2230000000001,-1065.24,1101.03
6,-1902.23,-618.554,-1252.86,-407.435,-572.729,-866.94,379.115
0,-524.888,670.2760000000001,652.726,1508.32,1199.31,244.32,1217.74
0,368.629,200.477,299.626,692.2510000000001,782.938,528.279,72.3871
0,-371.92699999999996,616.172,-144.584,486.991,614.696,108.194,891.628
0,-882.312,-239.61700000000002,-497.727,-62.506,166.851,-12.5664,91.0426
0,273.10900000000004,3.3254,167.40900000000002,1147.63,1180.31,-34.8787,533.52
0,-1093.08,-568.84,-428.51099999999997,-283.59,-112.87899999999999,-309.061,152.83
5,-826.567,-661.166,-613.479,-485.18699999999995,-43.1559,-285.04900000000004,-137.82
6,-21.0143,14.227,73.7714,161.286,863.972,97.4766,548.9259999999999
3,-1789.89,-2446.82,-2654.84,21.291999999999998,-13.8761,-496.286,-920.921
6,-2398.8,-454.94300000000004,-1006.16,-99.3596,-1387.69,-1124.48,577.881
7,421.06300000000005,333.85400000000004,92.0402,336.715,967.194,375.306,296.703
5,429.99300000000005,35.2923,352.145,602.96,1035.21,549.447,344.87
5,-1198.3,241.21599999999998,76.8688,944.5310000000001,271.18,-738.383,1117.25
7,112.78200000000001,-13.6414,159.485,171.855,1046.18,159.34,665.242
4,-1071.3,-911.2439999999999,-611.2330000000001,64.5641,-20.9559,-7.56884,261.76
5,-1196.12,-63.4572,-538.716,-333.565,481.00699999999995,-563.98,285.091
2,442.48699999999997,240.019,296.22700000000003,729.561,886.613,529.871,107.96600000000001
3,273.631,-65.2866,-8.4742,423.404,986.2139999999999,184.113,325.171
2,-1162.75,413.977,-47.0281,77.5584,753.0269999999999,-682.715,776.683
0,-726.3860000000001,487.189,-270.861,-446.962,567.719,-573.747,290.905
1,-626.346,-62.2052,-123.198,-27.0757,869.857,-306.14599999999996,364.06199999999995
7,-790.245,666.919,5.796469999999999,-221.06,732.699,-139.953,823.1510000000001
3,494.62,146.982,359.86800000000005,871.1310000000001,913.8910000000001,543.139,209.138
0,-1079.84,624.694,-340.12,1064.72,517.033,-729.794,1065.34
2,236.628,-32.1576,-75.601,505.69300000000004,932.815,170.43599999999998,42.8008
4,-1503.46,-1514.17,-2512.73,-233.16,-93.0239,-470.05300000000005,-599.1659999999999
3,-1073.35,650.105,-203.03099999999998,-285.764,977.0189999999999,-745.676,858.961
7,-1801.8,-95.7429,-1042.6,-778.0319999999999,-122.60799999999999,-1016.72,-47.9519
